"ID"	"Probesets"	"Symbol"	"logFC"	"FC"	"PValue"	"AdjPVal"
"NM_001282129"	"1554114_s_at"	"SSH2"	2.19074767835505	8.94189627825937	1.86411244822697e-05	6.61705412908637e-05
"NM_003358"	"204881_s_at"	"UGCG"	2.19592126990157	8.98827787351477	0.000245234401858592	0.000457030497988556
"NM_021623"	"217677_at"	"PLEKHA2"	2.20126148178532	9.03640557351219	3.42878593600557e-05	0.000107282116657494
"NM_020452"	"216873_s_at"	"ATP8B2"	2.20808335883077	9.09826156837554	3.98156018815483e-05	0.000117320729816018
"NM_003387"	"202663_at"	"WIPF1"	2.21102147697634	9.12503264481697	4.48633986058909e-05	0.000127850154712562
"NM_152222"	"227060_at"	"RELT"	2.21231129061183	9.13680982990076	0.000742651430820906	0.00102919958563537
"NM_001142287"	"203528_at"	"SEMA4D"	2.21563206784182	9.16720157411577	3.79502277721563e-05	0.000115178941288495
"NM_000788"	"203302_at"	"DCK"	2.21688982881119	9.1787389765803	9.29231230590115e-05	0.00021777735790278
"NR_046716"	NA	"MYCBP2-AS1"	2.2243853386783	9.24779679360064	0.0017108368810451	0.00193171159764746
"NM_024615"	"219033_at"	"PARP8"	2.23226835954512	9.3209854635959	0.000127731574215922	0.000274562026617427
"NM_000565"	"205945_at"	"IL6R"	2.23640163432595	9.35959138722847	2.07758225429551e-05	7.331932723008e-05
"NM_001795"	"204677_at"	"CDH5"	2.23953125875799	9.38892927745095	0.00011798584878754	0.000258546607270892
"NM_004840"	"209539_at"	"ARHGEF6"	2.24193886770305	9.41156138125921	5.63012409042131e-06	2.48903416922805e-05
"NM_001277990"	"203666_at"	"CXCL12"	2.24237089163716	9.41562827946867	2.49484457277761e-05	8.50770031278657e-05
"NM_006095"	"1569773_at"	"ATP8A1"	2.24454206474664	9.43609344706938	0.000247330514349955	0.000457712262836654
"NM_001080527"	"216660_at"	"MYO7B"	2.25068489922745	9.49423620509774	0.00182631419402995	0.00198349630918016
"NM_080829"	"227654_at"	"FAM65C"	2.25293363460114	9.51561025318025	0.00124012397294131	0.00150551050315075
"NM_001252624"	"1556583_a_at"	"SLC8A1"	2.25397064202061	9.52548312985204	9.97243434235528e-05	0.000230042529254214
"NM_006789"	"206160_at"	"APOBEC2"	2.25923958638528	9.57580482519811	0.00195805757538863	0.00210588482417541
"NM_152263"	"214365_at"	"TPM3"	2.26114271942427	9.59404620811939	0.000214584122002049	0.000413542710452489
"NR_040071"	"230526_at"	"TNRC6C-AS1"	2.26133681273392	9.59590852902709	0.0013897661217374	0.00164122185971713
"NM_133471"	"224927_at"	"PPP1R18"	2.27116823545458	9.69071524095341	0.000795955510720209	0.00108328474216854
